epoch,step,train_loss,val_loss
0,15,,4.67130184173584
0,15,3.353353500366211,
1,31,,4.493836402893066
1,31,2.6154658794403076,
2,47,,4.521358966827393
2,47,2.0513756275177,
3,63,,4.4464592933654785
3,63,1.657037377357483,
4,79,,4.286267280578613
4,79,1.3917675018310547,
5,95,,4.38223934173584
5,95,1.228210687637329,
6,111,,4.329379081726074
6,111,1.0814059972763062,
7,127,,4.299168586730957
7,127,0.9572898745536804,
8,143,,4.343462944030762
8,143,0.8963473439216614,
9,159,,4.403168201446533
9,159,0.8385120630264282,
10,175,,4.3304901123046875
10,175,0.7749910950660706,
11,191,,4.244624137878418
11,191,0.7491971254348755,
12,207,,4.506593704223633
12,207,0.7053540945053101,
13,223,,4.406787872314453
13,223,0.6821404695510864,
14,239,,4.283256530761719
14,239,0.6455502510070801,
15,255,,4.474340438842773
15,255,0.6262564063072205,
16,271,,4.426390647888184
16,271,0.6047276258468628,
17,287,,4.465811252593994
17,287,0.5903435945510864,
18,303,,4.473194122314453
18,303,0.5740952491760254,
19,319,,4.344395160675049
19,319,0.5652135610580444,
20,335,,4.4519782066345215
20,335,0.5593329071998596,
21,351,,4.427895545959473
21,351,0.5467457175254822,
22,367,,4.454450607299805
22,367,0.5389602184295654,
23,383,,4.281537055969238
23,383,0.5251773595809937,
24,399,,4.33565092086792
24,399,0.5133997201919556,
25,415,,4.2660908699035645
25,415,0.5091692805290222,
26,431,,4.435851097106934
26,431,0.49617865681648254,
27,447,,4.292430877685547
27,447,0.4888255000114441,
28,463,,4.325472831726074
28,463,0.4805999994277954,
29,479,,4.2488532066345215
29,479,0.47537171840667725,
30,495,,4.274512767791748
30,495,0.47573164105415344,
31,511,,4.425601959228516
31,511,0.46140357851982117,
